Signal Match,Name,Designation,Company,Role Hiring For,Source Platform,Job Post URL,LinkedIn Profile URL
High,Clay Mobley,Vice President Optimum Water Solutions,Optimum Water Solutions,Account Executive - B2B Sales,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4387827340,https://www.linkedin.com/sales/lead/ACwAAAQB-54BtaE9-DTA2iXZuDraSjdsUd-UizE
High,Dominique Kerins,"Pristine Pool Decks Owner, Customer Relations Management Pristine Pool Decks",Optimum Water Solutions,Account Executive - B2B Sales,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4387827340,https://www.linkedin.com/sales/lead/ACwAAAkIZ_kBi2Yd715L-jkon1-WXqPvWAvnvqQ
High,Jodi Usina,Regional Sales Manager Optimum Water Solutions,Optimum Water Solutions,Account Executive - B2B Sales,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4387827340,https://www.linkedin.com/sales/lead/ACwAAAVZqe0BM1pJ8NuwIcaYuUS_oW_pW05sPBE
High,Jonathan Pentz,Regional Sales Manager Optimum Water Solutions,Optimum Water Solutions,Account Executive - B2B Sales,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4387827340,https://www.linkedin.com/sales/lead/ACwAAAc6rG4ByqIIP8OTTcWTFF3kT9b3Gkr_mKs
High,Jeff Cole,CEO & Founder Pearly,Pearly,Account Executive - Mid-Market,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388960740,https://www.linkedin.com/sales/lead/ACwAAALAjOwBj6_daWKALPgWENLOxh1aaOE_Gys
High,Billy Grokenberger,"Co-Founder, Customer Success Pearly",Pearly,Account Executive - Mid-Market,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388960740,https://www.linkedin.com/sales/lead/ACwAAAd47WsBTGnteAm7HbmwfXzza5dSeg7zFJc
High,Sean Emmer,CTO & Founder Pearly,Pearly,Account Executive - Mid-Market,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388960740,https://www.linkedin.com/sales/lead/ACwAAASIdp4B6lEFiOAcbPbikejqQ9IOBPTebMg
High,"Pearly Keys, LLC",Founder Pearly Keys,Pearly,Account Executive - Mid-Market,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388960740,https://www.linkedin.com/sales/lead/ACwAADsStoUBSzJ776K4OBY1eUi4WCPhQU7EtzE
High,Pearly Lifestyle,Naturopathic Doctor Pearly,Pearly,Account Executive - Mid-Market,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388960740,https://www.linkedin.com/sales/lead/ACwAAE5h2d8BoiRDV_BPZ7RVtK0gYUEcz8qhom4
High,Joey Petracca,Co-founder and COO Chicory,Chicory,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4389592554,https://www.linkedin.com/sales/lead/ACwAAAm_1-EBacHVPIgNU11izKOXt-o1uk0sCT4
High,Yuni Baker-Saito,Co-founder & CEO Chicory,Chicory,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4389592554,https://www.linkedin.com/sales/lead/ACwAAAfqGlABUvR9u_lsk4W8VeN2KkM3pC4kdxs
High,Meghan Howard,Chief Revenue Officer (CRO) Chicory,Chicory,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4389592554,https://www.linkedin.com/sales/lead/ACwAAAAy3osBtBIdQxZ3jZr1OaDgj4ACNbXI_iU
High,Jefferson Myers,Member Board Of Directors Chicory,Chicory,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4389592554,https://www.linkedin.com/sales/lead/ACwAAAAk890BEwjAokB2kROXfCYq5WdoopxSnXg
High,Brian White,SVP of Strategy Chicory,Chicory,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4389592554,https://www.linkedin.com/sales/lead/ACwAAAAHpw0Bh9c2HPOZgCxwHvXYhV-rnwRL5h8
High,Raj Golecha,Chief Executive Officer PriceEasy,PriceEasy AI,SaaS Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4326556093,https://www.linkedin.com/sales/lead/ACwAAAFU1jwBCal5kgZWF6j0t_fKIUgIvZv2leE
High,Karthika K,"Detail-oriented and analytical Business Analyst with a strong track record of delivering data-driven insights to support strategic decision-making. Skilled in gathering and documenting business requirements, analyzing complex datasets, and collaborating cross-functionally to design scalable solutions that enhance efficiency and drive growth.

At PriceEasy AI, I have led the end‑to‑end onboarding and implementation of dynamic pricing engines for 500+ gas stations leveraging SQL, Excel, and Power BI to boost pricing efficiency by 15% .
Driven to apply analytical skills, deliver data-driven insights, and continuously grow while contributing to key business goals through strategic problem-solving. PriceEasy AI",PriceEasy AI,SaaS Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4326556093,https://www.linkedin.com/sales/lead/ACwAAEUZdKAB2ZLMjU8bIm3Gs6kQQ3HPuD9-PUc
High,Devshree Golecha,Member Board of Directors PriceEasy AI,PriceEasy AI,SaaS Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4326556093,https://www.linkedin.com/sales/lead/ACwAABCQ8WABbt7lo4imxGerc2hTWtx-mhB_tpY
High,Julie Jackson,President Jackson Advisory & Consulting,PriceEasy AI,SaaS Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4326556093,https://www.linkedin.com/sales/lead/ACwAAADzzw0BHH7on8JugGycbSy2955fy_2ELig
High,Islam Kaddoumi,Head of Pricing Strategy and Customer Solutions PriceEasy AI,PriceEasy AI,SaaS Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4326556093,https://www.linkedin.com/sales/lead/ACwAAAE17dIB3Z1Ey1ag4fj3ixPElgPOhz_J1Jo
High,Ken Evola,"Co-Founder FetchMe, LLC","FetchMe, LLC",Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388993781,https://www.linkedin.com/sales/lead/ACwAAACTYYEBBoOTA6VPUPLsMHTURIO4YNa1zUA
High,Kenny Driver,"Co-Founder FetchMe, LLC","FetchMe, LLC",Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388993781,https://www.linkedin.com/sales/lead/ACwAACXrtz8BmIiHBix4VSjdPjxryEvm0rMjd0o
High,Harrison Evola,"Chief Executive Officer FetchMe, LLC","FetchMe, LLC",Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388993781,https://www.linkedin.com/sales/lead/ACwAABFD1eoBRFa1T9EtXeR5gpdPqWxwc_aJn-A
High,Franco Arroyo,"Operations Manager FetchMe, LLC","FetchMe, LLC",Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388993781,https://www.linkedin.com/sales/lead/ACwAADDcbmEBBGB5_QsbKhIPEfEyWFpVfYBRzE0
High,"Abigail Nicolas, RPm","Onboarding and Recruitment Specialist FetchMe, LLC","FetchMe, LLC",Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388993781,https://www.linkedin.com/sales/lead/ACwAADuRyZAB6SNbGzXPhxy7E1tLv7nadTXx5g0
High,Gennadiy Bezkorovayniy,"Chief Executive Officer MiaRec, Inc.",MiaRec,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4362115557,https://www.linkedin.com/sales/lead/ACwAABQPrX4Bb1kb6Ggoi5EM9TlunjtY-2WqMWM
High,Tatiana Poly,Chief Operating Officer MiaRec,MiaRec,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4362115557,https://www.linkedin.com/sales/lead/ACwAABbEk4MBdQ8lfaYC5KdxVuy5J-cLQmHq1vg
High,Alex Kurchenko,"Senior Software Engineer MiaRec, Inc.",MiaRec,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4362115557,https://www.linkedin.com/sales/lead/ACwAABbWgP8BPju71wIksxuI7QhIF4QirFg8ygY
High,Timothy Lytle,Senior Implementation Engineer MiaRec,MiaRec,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4362115557,https://www.linkedin.com/sales/lead/ACwAACN52FMBt1V0Q-62jN3tuSiEk5la8mgah8E
High,Mark Friedman,"Senior Software Engineer MiaRec, Inc.",MiaRec,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4362115557,https://www.linkedin.com/sales/lead/ACwAABixx9ABxjTdCUNzQlRlVQm6qWXag6X-E2c
High,Neal Linson,Chief Information and AI Officer BusesForSale.com,BusesForSale.com,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4373599935,https://www.linkedin.com/sales/lead/ACwAAAFBedwBHngfKbSwj-R38PZzvdOAs-_utgE
High,Isaac Linson,Chief Bus Officer  BusesForSale.com,BusesForSale.com,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4373599935,https://www.linkedin.com/sales/lead/ACwAAA4P1WIByu4pR1nXA4-iroX7S75fotMcq9Y
High,George Lekas,COO BusesForSale.com,BusesForSale.com,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4373599935,https://www.linkedin.com/sales/lead/ACwAAAW2cWwB4ycahj_q7ayU6T7hfykc0mo613A
High,Darius Henry,Operations Manager BusesForSale.com,BusesForSale.com,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4373599935,https://www.linkedin.com/sales/lead/ACwAACB-ajABAbzw7vFB-SZfmP8BKDQhjTdVHms
High,Matias Carmona Vescovi,Technical Project Manager BusesForSale.com,BusesForSale.com,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4373599935,https://www.linkedin.com/sales/lead/ACwAABsUzp8B5GC3LiF3HfMcnFWJryfLudNRfiI
High,Brock Allen,"Co-Founder Duende Software, Inc.",Duende Software,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4387797555,https://www.linkedin.com/sales/lead/ACwAAAAMttYBNs8-py6Co0y_LbnxsNF3d-9x9X4
High,Tyler Parramore,"Chief Executive Officer Duende Software, Inc.",Duende Software,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4387797555,https://www.linkedin.com/sales/lead/ACwAAA6E1wQBDxT4LIQrNmo4vPXnRIIMtsxHH0g
High,Robert Phillips,"Interim CMO/VP/Head of Marketing - Duende Software Duende Software, Inc.",Duende Software,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4387797555,https://www.linkedin.com/sales/lead/ACwAAAEKF7sBJ2bdVsHxgmukv43anjCLE_0W9Yw
High,Vincent Berk,"Member Board of Directors Duende Software, Inc.",Duende Software,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4387797555,https://www.linkedin.com/sales/lead/ACwAAAIBBa4BJPwn39VEvd1gAaEB6oqZrueMxZA
High,Marc Patrican,VP of Finance Duende Software,Duende Software,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4387797555,https://www.linkedin.com/sales/lead/ACwAABlo7MYB-AOQ2dyjKnOKvzWC7sAL-8pBe_g
High,Dan Lopez,"Chief Technology Officer, Co-founder Neural",Neural Earth,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4367268615,https://www.linkedin.com/sales/lead/ACwAAAAcAg0BuAdkZmW7apUe1ZToknIOvLujr10
High,Blair Austin Childs,Co-Founder and Chief Executive Officer Neural,Neural Earth,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4367268615,https://www.linkedin.com/sales/lead/ACwAAB9PrjAB4FrmEVjcDwdJznAbOnpVx1zrCYQ
High,Ace Jeresey,Chief Executive Officer Neural,Neural Earth,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4367268615,https://www.linkedin.com/sales/lead/ACwAAE6RXp0Bioq7SJYK_WpgMuUMCTsstN0xHBo
High,Pierre Forcioli-Conti,Chief Product Officer Neural Earth,Neural Earth,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4367268615,https://www.linkedin.com/sales/lead/ACwAAAqWtz8B5H-X0S2n6TxDzOBGLOofK7TZrGI
High,Laurie Prill,CFO | B2B SOFTWARE Neural,Neural Earth,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4367268615,https://www.linkedin.com/sales/lead/ACwAADFm1goBylVROj70Tx8vtWxDaHZVR_t0le8
High,Sean Fulp,Founder and CEO Duxre,Duxre,SMB Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383953258,https://www.linkedin.com/sales/lead/ACwAAAWwLjMBq46TX7t8VI3cT0t7AGCH3rtZe2g
High,Patrick Felsted,Chief Technology Officer Duxre,Duxre,SMB Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383953258,https://www.linkedin.com/sales/lead/ACwAAABfV_wBhY7GORZGvBYAZR4mXfUQ9qqNlJw
High,Eric Vogel,Chief Product Officer Duxre,Duxre,SMB Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383953258,https://www.linkedin.com/sales/lead/ACwAAAT5-JQBP_xkPAkII6pT1IXvABHpnAAoOXc
High,Shermin Manalel,Director of Client Success & Growth Duxre,Duxre,SMB Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383953258,https://www.linkedin.com/sales/lead/ACwAAAN5RxYBl_m1PFgQiQPDDGujr7DnOP5DYtc
High,Aaron Marcelo,Senior Software Engineer Duxre,Duxre,SMB Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383953258,https://www.linkedin.com/sales/lead/ACwAAGOAz_kB2Xxj6Ofp6u3RfDICBezudj7Qcf0
High,Jordon Comstock,"Founder, CEO BoomCloud",BoomCloud,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4372553313,https://www.linkedin.com/sales/lead/ACwAAAw7HIgBCQ06_ZunahGJOr86r3a5GM45w3Y
High,Justin Comstock,Chief Operating Officer BoomCloud,BoomCloud,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4372553313,https://www.linkedin.com/sales/lead/ACwAABY6T_wB-NkwVxNb2vQnvAB4YeyAFtBg3ag
High,Geno Finley,Program Director Boomcloud,BoomCloud,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4372553313,https://www.linkedin.com/sales/lead/ACwAAADtWwUBUklZRWNcxSJTwiyNdp9CvyXpTsM
High,Justin Comstock,Chief Operating Officer BoomCloud,BoomCloud,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4372553313,https://www.linkedin.com/sales/lead/ACwAAFy-uHcB1OV5dpXIrrMbp0pJx5TfgBZVvHg
High,Kade Wakefield,Account Executive Team Lead BoomCloud,BoomCloud,Senior Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4372553313,https://www.linkedin.com/sales/lead/ACwAAD_Db1MB6KmVaOk0BclASpSw5u4IvJoN3EA
High,Prnuv Sharma,Chief Commercial Officer Ramco Specialties Inc,Ramco Specialties Inc,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4371186047,https://www.linkedin.com/sales/lead/ACwAAAVCUksBMYhWTkG2YrVund4qLyrA-UEm9fs
High,Bob Businger,Chief Financial Officer Ramco Specialties Inc,Ramco Specialties Inc,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4371186047,https://www.linkedin.com/sales/lead/ACwAAAHechIBcik_omZsrLISZ0__srE5GSLEN40
High,Charlie Thian,Purchasing And Sourcing Manager  Ramco Specialties Inc,Ramco Specialties Inc,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4371186047,https://www.linkedin.com/sales/lead/ACwAAA8Amj8BLXGEtYlvVmYZOzz-P8Jwe70r4Gc
High,Dale Spurio,Operations Manager Ramco Specialties Inc,Ramco Specialties Inc,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4371186047,https://www.linkedin.com/sales/lead/ACwAABWfYLIBGLjwHcMZ68T-8iSKhFKWNzk8CtU
High,Ryan Merrell,Engineering Manager Ramco Specialties Inc,Ramco Specialties Inc,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4371186047,https://www.linkedin.com/sales/lead/ACwAAAyGPOsBgPtAIttktJTgex9_3LuEb6O1R-k
High,Robin Gregg,Chief Executive Officer RoadSync,RoadSync,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4379580766,https://www.linkedin.com/sales/lead/ACwAAABSy7YB3qSYxw6glnB4e4WbDIkspd5mpWU
High,Lester Rivera,Chief Revenue Officer (CRO) RoadSync,RoadSync,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4379580766,https://www.linkedin.com/sales/lead/ACwAAAo0AswB3HEodtwj7n-9emqPsgQQddXAVcU
High,John Brown,Chief Operating Officer & Chief Financial Officer RoadSync,RoadSync,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4379580766,https://www.linkedin.com/sales/lead/ACwAAAATAeMBzWo0VWcsmFjlRLdalZRGvj9MyWU
High,Michael Sengbusch,Chief Product & Technology Officer  LeadingReach,RoadSync,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4379580766,https://www.linkedin.com/sales/lead/ACwAAAGIT_UBipIrzZ4SovDGW1-I09Z3uS51tTY
High,Whitney Weaver,Chief Technology Officer RoadSync,RoadSync,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4379580766,https://www.linkedin.com/sales/lead/ACwAAAEqIv8BG-e6HYaP45102D-_vPk1mb7-SJs
High,Pedram Nastaean,Founder Kwikly Dental Staffing,Kwikly Dental Staffing,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4381854357,https://www.linkedin.com/sales/lead/ACwAACUcQYIB_mjMIIU85RifhJKoDDeBnfvpPsg
High,Yom Hirpa,Co-Founder Kwikly- Dental Staffing App,Kwikly Dental Staffing,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4381854357,https://www.linkedin.com/sales/lead/ACwAACoMdqUBiwLb8igu8phfHrOzAl2Z-oWFvoU
High,Devin Amberg,Chief Revenue Officer (CRO) Kwikly Dental Staffing,Kwikly Dental Staffing,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4381854357,https://www.linkedin.com/sales/lead/ACwAABF1reIBSKt0weDoEWkD5BDa-yQGifhpDFQ
