Signal Match,Name,Designation,Company,Role Hiring For,Source Platform,Job Post URL,LinkedIn Profile URL
"High","Jeff Flores","Co-Founder Frontera Health, Inc.","Frontera","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=1b4803fc904f70c9","https://www.linkedin.com/sales/lead/ACwAADjhQ4MBzazu8kAME_frH9l6a7KbhFa5EAE"
"High","Breanden Beneschott","Cofounder & CEO Mechanism Ventures","Mechanism Ventures","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=83b349fa8187d72a","https://www.linkedin.com/sales/lead/ACwAAACChOEBTvZQ5Bx55mp4vh5_IpomwbAh3mk"
"High","Denis Grosz","Co-Founder Mechanism Ventures","Mechanism Ventures","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=83b349fa8187d72a","https://www.linkedin.com/sales/lead/ACwAAAeEFVsBSw5VifPJby48hrSUNjOzmxOI7I4"
"High","Todd Robinson","President and Co-Founder InMotion Hosting, Inc.","InMotion Hosting","Head of Product Growth - Cloud Division","Indeed","https://www.indeed.com/viewjob?jk=018e903f5a91a5a3","https://www.linkedin.com/sales/lead/ACwAAABp_xkBgTZ_tgZEH3Toa0G2o2LPx4kX9qk"
"High","Sunil Saxena","Exec VP / Co-Founder InMotion Hosting, Inc & Web Hosting Hub, Inc","InMotion Hosting","Head of Product Growth - Cloud Division","Indeed","https://www.indeed.com/viewjob?jk=018e903f5a91a5a3","https://www.linkedin.com/sales/lead/ACwAAAGp6v4B6l233p1_0Q8x2tdveOpMrejt-Xo"
"High","Ryan Fukushima","Co-Founder Pathos","Pathos","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=bfbd25f46f0ef583","https://www.linkedin.com/sales/lead/ACwAAAL5OxMBTnpEzuJIrl0y2Moj8U9O4O8Mh50"
"High","Moises Rivera","Founder PATHOS SOLUTIONS","Pathos","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=bfbd25f46f0ef583","https://www.linkedin.com/sales/lead/ACwAAEcLj8QBo9nhkr6-v1RbS-dN_Cl4OWI36l4"
"High","Disha Ransingh","Startup Founder – Cohort Member(Startup Summer) The Mill","Amplify Bloomington","Head of Entrepreneurship Growth","Indeed","https://www.indeed.com/viewjob?jk=1b4a130ab60602a6","https://www.linkedin.com/sales/lead/ACwAADyMIbUBx1nbiYJi8dAQ06EW1VhxttD9U3g"
"High","James Liu","Co-Founder and CTO Serif.ai","Serif.ai","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=d63527f415c35ac8","https://www.linkedin.com/sales/lead/ACwAAA29yRcBGKboN078eoy-OEA9uFusfWzf44Y"
"High","Kevin Yang","Co-Founder Serif.ai","Serif.ai","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=d63527f415c35ac8","https://www.linkedin.com/sales/lead/ACwAABNJ5F0BDHNBRIlEluf4OL90gzK-h7prcMU"
"High","Chris Webb","Founder and Chairman of the Board ChowNow","ChowNow","Revenue Operations Manager","Indeed","https://www.indeed.com/viewjob?jk=9d03bb42a5515313","https://www.linkedin.com/sales/lead/ACwAAAVBhxMB_itrBvYFXXv79yKEwy9ZXDk2wEs"
"High","Nooh Ali Hassan","Founder Table Turnerr","ChowNow","Revenue Operations Manager","Indeed","https://www.indeed.com/viewjob?jk=9d03bb42a5515313","https://www.linkedin.com/sales/lead/ACwAAEBL-lQB5KBdIH8kMi-v9qL7Yrcb4mZN-qk"
"High","Sam Viskovich","Founder & CMO UTTR","UTTR","Revenue Operations Manager (Part-Time)","Indeed","https://www.indeed.com/viewjob?jk=50d7421d492d08fc","https://www.linkedin.com/sales/lead/ACwAABZ0GvkBse3xUF_yc-xOiqF7E3c-B5NEdhk"
"High","Brent Locks","Co-Founder & President, COO Builder.io","Builder.io","Senior Revenue Operations Manager","Indeed","https://www.indeed.com/viewjob?jk=0e82ea39d3f74999","https://www.linkedin.com/sales/lead/ACwAAAGWusABT2NIicLLp5wmsRR5DsceZ7jy9cE"
"High","Steve Sewell","Co-Founder, CEO Builder.io","Builder.io","Senior Revenue Operations Manager","Indeed","https://www.indeed.com/viewjob?jk=0e82ea39d3f74999","https://www.linkedin.com/sales/lead/ACwAAAiMbyYBzc4lwM4QUOpH139lKUxG7vBPQus"
"High","Rish Gupta","Co-founder and CEO Spot AI","Spot AI","Sr. Sales Operations Manager","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAHMZOYBCDYIFn7JaLybZ7hcSADJhliFpxg"
"High","Tanuj Thapliyal","Co-Founder Spot AI","Spot AI","Sr. Sales Operations Manager","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAG6qhkBYVOaU18g6PMgJ27e5kv4LjGBwAE"
"High","Sud B.","Co-founder & COO Spot AI","Spot AI","Sr. Sales Operations Manager","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAK7_YsBMNgK9djpHi9uS0WN-Iuc-_qQxAQ"
"High","Nikita Cretu","Co-founder & COO Lumino","Lumino","National Account Manager","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAABb0ZowBz5NOCbypnqtIZVIlDHY3KzuSeTs"
"High","Vikas Khorana","President, Co-Founder and CTO Ntooitive Digital","Ntooitive Digital LLC","Head of Go-To-Market (GTM) / VP Growth","Glassdoor","https://www.glassdoor.com/Job/Head-of-Growth-jobs-SRCH_KO0,14.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAARqxpsBbm36Nc6-sm3BZGrFwPSTqudgrP0"
"High","Ryan Christiansen","Co-Founder and CEO Ntooitive Digital","Ntooitive Digital LLC","Head of Go-To-Market (GTM) / VP Growth","Glassdoor","https://www.glassdoor.com/Job/Head-of-Growth-jobs-SRCH_KO0,14.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAADHM30BLBUVTjtcDZvXOCcbBQq2HAMv8Yw"
"High","Brian Johnson","Co-Founder Ntooitive Digital","Ntooitive Digital LLC","Head of Go-To-Market (GTM) / VP Growth","Glassdoor","https://www.glassdoor.com/Job/Head-of-Growth-jobs-SRCH_KO0,14.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAjlnKEBQGVPnzhPEKAJvk9qw7SVDtplVOM"
"High","Jhana Li","Founder Spyglass Ops","Spyglass Operations","Head of Operations","Glassdoor","https://www.glassdoor.com/Job/Head-of-Growth-jobs-SRCH_KO0,14.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAABej178BjvxTDG9avST2blhg5JA8eowENxQ"
"High","Jason Zhang","COO, Co-founder Mercury","Mercury","Head of Growth Marketing","Dice","https://www.dice.com/jobs?q=Head%20of%20Growth%20Marketing&employer=Mercury","https://www.linkedin.com/sales/lead/ACwAAAzm3xwBUeurVqBKBywFlE7yY9_u8ZCL9CY"
"High","Issy Greenslade","Founder at Structured AI","Structured AI","GTM Intern","YC Startups","https://www.workatastartup.com/companies/structured-ai","https://www.linkedin.com/in/isabelgreenslade/"
"High","Brandon Abreu Smith","Founder at Structured AI","Structured AI","GTM Intern","YC Startups","https://www.workatastartup.com/companies/structured-ai","https://www.linkedin.com/in/brandon-abreu-smith/"
"High","Raymond Zhao","Founder at Structured AI","Structured AI","GTM Intern","YC Startups","https://www.workatastartup.com/companies/structured-ai","https://www.linkedin.com/in/raymondz1/"
"High","Haakam Aujla","Founder at AgentMail","AgentMail","Founding GTM Lead","YC Startups","https://www.workatastartup.com/companies/agentmail","https://www.linkedin.com/in/haaaujla/"
"High","Michael Kim","Founder at AgentMail","AgentMail","Founding GTM Lead","YC Startups","https://www.workatastartup.com/companies/agentmail","https://www.linkedin.com/in/hyun-michael-kim-281242220/"
"High","Adi Singh","Founder at AgentMail","AgentMail","Founding GTM Lead","YC Startups","https://www.workatastartup.com/companies/agentmail","https://linkedin.com/in/adivirsingh13"
"High","Abhilash Chowdhary","Founder at Crustdata","Crustdata","Founding Growth","YC Startups","https://www.workatastartup.com/companies/crustdata","https://linkedin.com/in/abhilash-chowdhary"
"High","Manmohit Grewal","Founder at Crustdata","Crustdata","Founding Growth","YC Startups","https://www.workatastartup.com/companies/crustdata","https://www.linkedin.com/in/manmohitgrewal/"
"High","Richard Macy","President and CEO USAble Life","USAble Life","Go-To-Market Manager - Remote","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381485697","https://www.linkedin.com/sales/lead/ACwAAAAWm2wBnbVc6RUtt9GVGLRC3Bds9HEUNgc"
"High","Brian Rolapp","Chief Executive Officer PGA TOUR","PGA TOUR","Associate Product Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385092628","https://www.linkedin.com/sales/lead/ACwAAAU7p1UBga0pFIojsXRRymd8Grz6uIMy3Rs"
"High","Nicolas Bidon","Chief Executive Officer Ogury","Ogury","Regional Go-To-Market Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4382405250","https://www.linkedin.com/sales/lead/ACwAAAAJHCYBZ4kEcJx6JU58_Ram4d3fGccbYUs"
"High","Sid Mikhail","Chief Executive Officer Luminize Marketing","Luminize","Senior Content Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4377014773","https://www.linkedin.com/sales/lead/ACwAADH8FqYByo5V1FUCaXJ_H3YJ1wzPdMC4b1U"
"High","Dinesh Tandon","Global CEO Theory","Theory","Go To Market Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381162798","https://www.linkedin.com/sales/lead/ACwAAAGosVMB-bJtX2J9VdpnDLI3EJeDdElGNKE"
"High","Emmanuel Stern","CEO Europe Theory","Theory","Go To Market Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381162798","https://www.linkedin.com/sales/lead/ACwAAA00g1MBbkFXEtYGI7SAfF9sDKsVohA4UbI"
"High","Carressa Hudon","Chief Executive Officer Theory","Theory","Go To Market Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381162798","https://www.linkedin.com/sales/lead/ACwAAB6nIdUBIGlJ18KJl7Suzmz28NysxeCSX2g"
"High","Benjamin FILAFERRO","CEO MENA LexisNexis","LexisNexis","Go-to-Market Manager (Legal Technology)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387314891","https://www.linkedin.com/sales/lead/ACwAAAAb7cUBopb0SVsA_VnwVPQGWtVL-AvJ_UE"
"High","Sean Fitzpatrick","CEO LexisNexis North America, UK & Ireland LexisNexis","LexisNexis","Go-to-Market Manager (Legal Technology)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387314891","https://www.linkedin.com/sales/lead/ACwAAACASwsB8MKR6vLuZ-jd7tfT05sNj4bJM9E"
"High","Dave Blair","Chief Executive Officer Ridgeline","Ridgeline","Go-To-Market Field Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4382532191","https://www.linkedin.com/sales/lead/ACwAAAAJn-YB7G_b-F_RwxzqBzmpWQQv49J-p2E"
"High","Ann Barnes(Pitt)","Chief Executive Officer IMO Health","IMO Health","Go-To-Market (GTM) Program Manager - Provider Solutions","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4354855202","https://www.linkedin.com/sales/lead/ACwAAAA24toBUGTV8Rw9FHq8zDYlkxhopsh8X6c"
"High","Jascha Kaykas-Wolff","Chief Executive Officer Visiting Media","Visiting Media","Go-to-Market (GTM) Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387974994","https://www.linkedin.com/sales/lead/ACwAAAAIdqwBoqDMZ0YnbwTxE8HOoKNRT3EVQ7k"
"High","Carl Daikeler","Chief Executive Officer The Beachbody Company","The Beachbody Company","Manager, Retail Sales","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4384639250","https://www.linkedin.com/sales/lead/ACwAADx0S1YBvEuPFJBihy9KU8LdPC5VJYDuINA"
"High","Amjad Masad","CEO Replit","Replit","GRC Lead (Governance, Risk, and Compliance)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4372149080","https://www.linkedin.com/sales/lead/ACwAAAKoldoB3LMaWcrQv_-Q8RDgCCSlzS_DBpA"
"High","Savneet S.","Chief Executive Officer ParTech, Inc.","PAR Technology","Head of Demand Generation","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388970889","https://www.linkedin.com/sales/lead/ACwAAAChDIMB62wPedQmwvvrBnA_x2rrsvazCow"
"High","David Elías Rabling","CEO Birdman","Birdman","Head of Brand Marketing","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388590394","https://www.linkedin.com/sales/lead/ACwAAAy1RvABPapq_Kta_Ll7f02LkOg2w3xmqsE"
"High","Joel Portice","President and CEO egnite Health","egnite Health","Head of Marketing","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4374152742","https://www.linkedin.com/sales/lead/ACwAAABa2-ABKaMs9r9uThZwihsRhtz_rvDoU2Y"
"High","Taylor Wentz Brown","People Operations and Projects Lead. Executive Assistant to CEO. Office Operations Manager. Frontera","Frontera","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=1b4803fc904f70c9","https://www.linkedin.com/sales/lead/ACwAABCZTRgBCXIUE55Y6G6vLRHRWH2FDv5I7Mo"
"High","Asen Kostadinov","TopView Sightseeing CEO TopView Sightseeing","TopView Sightseeing","Director of Revenue & Performance Marketing","Indeed","https://www.indeed.com/viewjob?jk=c51e4d2c41a96b9f","https://www.linkedin.com/sales/lead/ACwAABlnwTUB0-76Oq_y3Vw5enjJ7dAeDRXFqY8"
"High","Amelia Coomber","CEO in Residence Mechanism Ventures","Mechanism Ventures","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=83b349fa8187d72a","https://www.linkedin.com/sales/lead/ACwAABG-ML0Bk0F0QUtfAIhHwBBWPb7cyP6sO3M"
"High","Mike Wolowski","Interim CEO & Head of Growth (Portfolio Company - Growth & Value Creation) Mechanism Ventures","Mechanism Ventures","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=83b349fa8187d72a","https://www.linkedin.com/sales/lead/ACwAABNDCJ0BPTyCw6ZmTxFocbKN0LxwyKvf890"
"High","Robbie Tharp","Chief Executive Officer Tharp Ventures","Tharp Ventures","Head of Growth - Wellness & DTC Brands","Indeed","https://www.indeed.com/viewjob?jk=2bfb80b339a02c44","https://www.linkedin.com/sales/lead/ACwAABKXzlMBA1dgfjd-ebeOGzr4tZ48bM42cXo"
"High","Iker Huerga","Chief Executive Officer Pathos","Pathos","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=bfbd25f46f0ef583","https://www.linkedin.com/sales/lead/ACwAAARZ7kIBtgyGceUXaaqUxaQl1my8ihc6ZJc"
"High","John Fernandez","Chief Executive Officer The Mill","Amplify Bloomington","Head of Entrepreneurship Growth","Indeed","https://www.indeed.com/viewjob?jk=1b4a130ab60602a6","https://www.linkedin.com/sales/lead/ACwAAAltUxUBUX5F_G4TcAojN_xc9FaX72tkn5g"
"High","Kanika Soni","CEO ChowNow","ChowNow","Revenue Operations Manager","Indeed","https://www.indeed.com/viewjob?jk=9d03bb42a5515313","https://www.linkedin.com/sales/lead/ACwAAAAnwtMBTFRdREgfRWjAZ4k-VGTIF8pIYpA"
"High","Paul Walker","CEO FranklinCovey","FranklinCovey","Revenue Operations & Customer Growth Manager","Indeed","https://www.indeed.com/viewjob?jk=1732d3f9db030378","https://www.linkedin.com/sales/lead/ACwAABH5uikBEpHjLbI9mK8XvfR0OuKAKTARdhk"
"High","Steve Pinado","Chief Executive Officer NMI","NMI","Revenue Operations Manager, Business Applications","Indeed","https://www.indeed.com/viewjob?jk=9867507404ea84f6","https://www.linkedin.com/sales/lead/ACwAAADgT_wBESc363yvVNuUBMtxAi1zcbdiq9k"
"High","Stephen Fusco","Chief Executive Officer Rewards Network","Rewards Network","Senior Manager, Inside Sales (Hybrid)","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAAthFEBI6ldfST-KXrIXse8AGrrY1xnEPs"
"High","Hal Hargrave","Owner-CEO Apex Imaging Services","Apex Market Capture","Business Development Executive","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAMmWl0B2HqG0YWmOcdPs3kgBo558nnXM5Y"
"High","Eric Nyman","Chief Executive Officer Revelyst","Revelyst","Senior Manager, Go-To-Market, Outdoor Performance","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAAUa7UBnN1mVgbRucj7phJtHLzJjPcyfyA"
"High","Michael Vincent","Chief Executive Officer Davlyn Group","Davlyn Group","Director of Sales Growth","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAJj0TIBhli8mA5t3E07fbNGr9Drxo2g7lM"
"High","Thomas Gray","Chief Executive Officer Lumino","Lumino","National Account Manager","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAA-qBIgBSyKZv9snl-wnhu22UjvvBlYaz3A"
"High","Kathy Boden Holland","Chief Executive Officer Mindr","Mindr","Senior Manager Keepr Sales-Remote","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAAL5xUBa9l8YBrrYScc8-1CK7Oq4K2Ool0"
"High","Atal B.","President & CEO Chetu, Inc.","Chetu","Director of Sales LATAM","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAAFfeEBqB6PU-YBR-QyOHaT3STxoYyTDQk"
"High","Don Deemer","President & CEO Neptune Technology Group Inc.","Neptune Technology Group","Strategic Initiative Manager","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAG39BMBXe-5wRnKYjIMCrIhtTzd3BmEaXE"
"High","Stephane Ginoux","President & CEO Airbus Japan","Airbus","Head of Growth & Marketing","Glassdoor","https://www.glassdoor.com/Job/Head-of-Growth-jobs-SRCH_KO0,14.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAANjPMEBT2iqC3L4LnemmqUc4PxPh17F2Cs"
"High","Melanie Andrews","UX Design Manager (Danner & LaCrosse) LaCrosse Footwear Incorporated","LaCrosse Footwear Incorporated","Sr. Manager Community & Creator Marketing","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4389912990","https://www.linkedin.com/sales/lead/ACwAAAFuc_MBV53vUcxCYmsSbdUnRnT3Bi6CRo4"
"High","Baka D.","Microsoft for startups Microsoft","Microsoft","Principal Technical Program Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388280787","https://www.linkedin.com/sales/lead/ACwAACcoUlQB2woaOTbAujIG8eHW8q5H1KsFUpI"
"High","David McCarter Jr","With almost two decades of experience at Microsoft, my recent focus has been on ensuring operational excellence as a Site Reliability Engineer within the M365 Problem Management team. By leveraging skills in incident management, Microsoft Power BI, CI/CD pipelines, and reporting pipeline engineering, the team and I have improved visibility into key business metrics and enhanced cross-team collaboration.  Dedicated to fostering relationships across operations, development, external vendors, and multiple geographic regions, the goal is to support seamless incident resolution and proactive problem management (reducing MTTD, MTTM, and MTTR). A commitment to innovation and effective communication drives the creation of impactful solutions that align with the needs of the organization and its stakeholders.I am a reliability-driven engineering leader with extensive experience delivering, operating, and improving large-scale distributed systems. I've demonstrated strong expertise in incident and problem management, automation engineering, and service reliability practices that improve uptime, resilience, and operational efficiency. I leverage data, telemetry, and disciplined processes to enhance service health and reduce operational friction. As core to my skills I bring advanced capability in automation and scripting using Python, PowerShell, and Bash to streamline incident response and infrastructure management. I possess deep service knowledge, a systems-level perspective, and a proven ability to collaborate effectively across engineering, operations, and vendor teams. I've been recognized for motivating stakeholders toward shared outcomes and translating complex technical issues into clear, actionable insights for diverse audiences.CORE COMPETENCIESIncident &amp; Problem Management, Distributed Systems Reliability, Service Health, Monitoring, Site Reliability Engineering, Observability Engineering, Operational Excellence, Process Design, Postmortem Analysis, Metrics &amp; Telemetry, Visualizations / Power BI, Automation Design, Cross-Team Collaboration, Linux Administration, Microsoft 365 Administration, SLI / SLO, Escalation Management, Datacenter Operations, Operational Documentation Microsoft","Microsoft","Principal Technical Program Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388280787","https://www.linkedin.com/sales/lead/ACwAAAbP_0QBknfvBK4_q_nPe_umEHaY20bStVs"
"High","Heather Cook","Principal PM Manager, Microsoft 365 Customer Advocacy Group Microsoft","Microsoft","Principal Technical Program Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388280787","https://www.linkedin.com/sales/lead/ACwAAAAxEwYBO1rsmtq_LUdNARJbAme5huu4n3E"
"High","Sally Ann Frank","Global Lead - Health & Life Sciences | Microsoft for Startups Microsoft","Microsoft","Principal Technical Program Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388280787","https://www.linkedin.com/sales/lead/ACwAAAFCauEBlfL31JeueZqrxhlG-R96ntZqrHI"
"High","Gareth Edward Jones","Board Member - Microsoft Dynamics HR (Customer Advisory Board) Microsoft","Microsoft","Principal Technical Program Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388280787","https://www.linkedin.com/sales/lead/ACwAAAL9mG4B8EqVs-QwBnETyNZulPVq-FEivXM"
